object_id,domain_id,zone_id,zone_type,service_class,semantic_facet,freshness_class,time_bucket,vendor_template_id,canonical_name,producer_node_id,controller_node_id,payload_size_bytes,unit,value_type,object_version,object_text_id,semantic_intent_family,semantic_intent_variant,confuser_group_id,difficulty_tag
obj-01-01-air_quality_co2-01,domain-01,domain-01-zone-01,school_area,air_quality_co2,indoor_ventilation_strain,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_co2/obj-01-01-air_quality_co2-01,producer-slot-domain-01-01-1,controller-slot-domain-01,271,ppm,float,1,text-obj-01-01-air_quality_co2-01,indoor_ventilation_strain,indoor_ventilation_strain_variant_01,cg-obj-01-01-air_quality_co2-01,routing_hard
obj-01-01-air_quality_co2-01-snm01,domain-01,domain-01-zone-01,school_area,air_quality_co2,traffic_corridor_emission,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_co2/obj-01-01-air_quality_co2-01-snm01,producer-slot-domain-01-01-1,controller-slot-domain-01,271,ppm,float,1,text-obj-01-01-air_quality_co2-01-snm01,traffic_corridor_emission,traffic_corridor_emission_variant_01,cg-obj-01-01-air_quality_co2-01,routing_hard
obj-01-01-air_quality_co2-01-snm02,domain-01,domain-01-zone-01,school_area,air_quality_co2,transit_queue_buildup,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_co2/obj-01-01-air_quality_co2-01-snm02,producer-slot-domain-01-01-1,controller-slot-domain-01,271,ppm,float,1,text-obj-01-01-air_quality_co2-01-snm02,transit_queue_buildup,transit_queue_buildup_variant_02,cg-obj-01-01-air_quality_co2-01,routing_hard
obj-01-01-air_quality_co2-01-snm03,domain-01,domain-01-zone-01,school_area,air_quality_co2,stadium_post_event_co2,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_co2/obj-01-01-air_quality_co2-01-snm03,producer-slot-domain-01-01-1,controller-slot-domain-01,271,ppm,float,1,text-obj-01-01-air_quality_co2-01-snm03,stadium_post_event_co2,stadium_post_event_co2_variant_03,cg-obj-01-01-air_quality_co2-01,routing_hard
obj-01-01-air_quality_co2-01-cnm01,domain-01,domain-01-zone-01,school_area,air_quality_co2,indoor_ventilation_strain,recent,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_co2/obj-01-01-air_quality_co2-01-cnm01,producer-slot-domain-01-01-1,controller-slot-domain-01,271,ppm,float,1,text-obj-01-01-air_quality_co2-01-cnm01,indoor_ventilation_strain,indoor_ventilation_strain_variant_01,cg-obj-01-01-air_quality_co2-01,routing_hard
obj-01-01-air_quality_co2-01-ncf01,domain-01,domain-01-zone-01,school_area,air_quality_co2,indoor_ventilation_strain,realtime,morning,tpl-02,/city/domain-01/services/air_quality_co2/zones/domain-01-zone-01/objects/obj-01-01-air_quality_co2-01-ncf01,producer-slot-domain-01-01-1,controller-slot-domain-01,271,ppm,float,1,text-obj-01-01-air_quality_co2-01-ncf01,indoor_ventilation_strain,indoor_ventilation_strain_variant_01,cg-obj-01-01-air_quality_co2-01,routing_hard
obj-01-01-air_quality_co2-02,domain-01,domain-01-zone-01,school_area,air_quality_co2,traffic_corridor_emission,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_co2/zones/domain-01-zone-01/objects/obj-01-01-air_quality_co2-02,producer-slot-domain-01-01-2,controller-slot-domain-01,190,ppm,float,1,text-obj-01-01-air_quality_co2-02,traffic_corridor_emission,traffic_corridor_emission_variant_02,cg-obj-01-01-air_quality_co2-02,routing_hard
obj-01-01-air_quality_co2-02-snm01,domain-01,domain-01-zone-01,school_area,air_quality_co2,transit_queue_buildup,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_co2/zones/domain-01-zone-01/objects/obj-01-01-air_quality_co2-02-snm01,producer-slot-domain-01-01-2,controller-slot-domain-01,190,ppm,float,1,text-obj-01-01-air_quality_co2-02-snm01,transit_queue_buildup,transit_queue_buildup_variant_01,cg-obj-01-01-air_quality_co2-02,routing_hard
obj-01-01-air_quality_co2-02-snm02,domain-01,domain-01-zone-01,school_area,air_quality_co2,stadium_post_event_co2,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_co2/zones/domain-01-zone-01/objects/obj-01-01-air_quality_co2-02-snm02,producer-slot-domain-01-01-2,controller-slot-domain-01,190,ppm,float,1,text-obj-01-01-air_quality_co2-02-snm02,stadium_post_event_co2,stadium_post_event_co2_variant_02,cg-obj-01-01-air_quality_co2-02,routing_hard
obj-01-01-air_quality_co2-02-snm03,domain-01,domain-01-zone-01,school_area,air_quality_co2,freight_terminal_emission,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_co2/zones/domain-01-zone-01/objects/obj-01-01-air_quality_co2-02-snm03,producer-slot-domain-01-01-2,controller-slot-domain-01,190,ppm,float,1,text-obj-01-01-air_quality_co2-02-snm03,freight_terminal_emission,freight_terminal_emission_variant_03,cg-obj-01-01-air_quality_co2-02,routing_hard
obj-01-01-air_quality_co2-02-cnm01,domain-01,domain-01-zone-01,school_area,air_quality_co2,traffic_corridor_emission,archival,afternoon,tpl-02,/city/domain-01/services/air_quality_co2/zones/domain-01-zone-01/objects/obj-01-01-air_quality_co2-02-cnm01,producer-slot-domain-01-01-2,controller-slot-domain-01,190,ppm,float,1,text-obj-01-01-air_quality_co2-02-cnm01,traffic_corridor_emission,traffic_corridor_emission_variant_02,cg-obj-01-01-air_quality_co2-02,routing_hard
obj-01-01-air_quality_co2-02-ncf01,domain-01,domain-01-zone-01,school_area,air_quality_co2,traffic_corridor_emission,recent,afternoon,tpl-03,/org/domain-01/zone/domain-01-zone-01/telemetry/air_quality_co2/obj-01-01-air_quality_co2-02-ncf01,producer-slot-domain-01-01-2,controller-slot-domain-01,190,ppm,float,1,text-obj-01-01-air_quality_co2-02-ncf01,traffic_corridor_emission,traffic_corridor_emission_variant_02,cg-obj-01-01-air_quality_co2-02,routing_hard
obj-01-01-air_quality_pm25-01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,industrial_plume,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_pm25/obj-01-01-air_quality_pm25-01,producer-slot-domain-01-01-1,controller-slot-domain-01,373,ugm3,float,1,text-obj-01-01-air_quality_pm25-01,industrial_plume,industrial_plume_variant_01,cg-obj-01-01-air_quality_pm25-01,routing_hard
obj-01-01-air_quality_pm25-01-snm01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,commuter_particulate,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_pm25/obj-01-01-air_quality_pm25-01-snm01,producer-slot-domain-01-01-1,controller-slot-domain-01,373,ugm3,float,1,text-obj-01-01-air_quality_pm25-01-snm01,commuter_particulate,commuter_particulate_variant_01,cg-obj-01-01-air_quality_pm25-01,routing_hard
obj-01-01-air_quality_pm25-01-snm02,domain-01,domain-01-zone-01,school_area,air_quality_pm25,construction_dust,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_pm25/obj-01-01-air_quality_pm25-01-snm02,producer-slot-domain-01-01-1,controller-slot-domain-01,373,ugm3,float,1,text-obj-01-01-air_quality_pm25-01-snm02,construction_dust,construction_dust_variant_02,cg-obj-01-01-air_quality_pm25-01,routing_hard
obj-01-01-air_quality_pm25-01-snm03,domain-01,domain-01-zone-01,school_area,air_quality_pm25,school_alert,realtime,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_pm25/obj-01-01-air_quality_pm25-01-snm03,producer-slot-domain-01-01-1,controller-slot-domain-01,373,ugm3,float,1,text-obj-01-01-air_quality_pm25-01-snm03,school_alert,school_alert_variant_03,cg-obj-01-01-air_quality_pm25-01,routing_hard
obj-01-01-air_quality_pm25-01-cnm01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,industrial_plume,recent,morning,tpl-01,/domain-01/domain-01-zone-01/air_quality_pm25/obj-01-01-air_quality_pm25-01-cnm01,producer-slot-domain-01-01-1,controller-slot-domain-01,373,ugm3,float,1,text-obj-01-01-air_quality_pm25-01-cnm01,industrial_plume,industrial_plume_variant_01,cg-obj-01-01-air_quality_pm25-01,routing_hard
obj-01-01-air_quality_pm25-01-ncf01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,industrial_plume,realtime,morning,tpl-02,/city/domain-01/services/air_quality_pm25/zones/domain-01-zone-01/objects/obj-01-01-air_quality_pm25-01-ncf01,producer-slot-domain-01-01-1,controller-slot-domain-01,373,ugm3,float,1,text-obj-01-01-air_quality_pm25-01-ncf01,industrial_plume,industrial_plume_variant_01,cg-obj-01-01-air_quality_pm25-01,routing_hard
obj-01-01-air_quality_pm25-02,domain-01,domain-01-zone-01,school_area,air_quality_pm25,commuter_particulate,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_pm25/zones/domain-01-zone-01/objects/obj-01-01-air_quality_pm25-02,producer-slot-domain-01-01-2,controller-slot-domain-01,221,ugm3,float,1,text-obj-01-01-air_quality_pm25-02,commuter_particulate,commuter_particulate_variant_02,cg-obj-01-01-air_quality_pm25-02,routing_hard
obj-01-01-air_quality_pm25-02-snm01,domain-01,domain-01-zone-01,school_area,air_quality_pm25,construction_dust,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_pm25/zones/domain-01-zone-01/objects/obj-01-01-air_quality_pm25-02-snm01,producer-slot-domain-01-01-2,controller-slot-domain-01,221,ugm3,float,1,text-obj-01-01-air_quality_pm25-02-snm01,construction_dust,construction_dust_variant_01,cg-obj-01-01-air_quality_pm25-02,routing_hard
obj-01-01-air_quality_pm25-02-snm02,domain-01,domain-01-zone-01,school_area,air_quality_pm25,school_alert,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_pm25/zones/domain-01-zone-01/objects/obj-01-01-air_quality_pm25-02-snm02,producer-slot-domain-01-01-2,controller-slot-domain-01,221,ugm3,float,1,text-obj-01-01-air_quality_pm25-02-snm02,school_alert,school_alert_variant_02,cg-obj-01-01-air_quality_pm25-02,routing_hard
obj-01-01-air_quality_pm25-02-snm03,domain-01,domain-01-zone-01,school_area,air_quality_pm25,overnight_inversion,recent,afternoon,tpl-02,/city/domain-01/services/air_quality_pm25/zones/domain-01-zone-01/objects/obj-01-01-air_quality_pm25-02-snm03,producer-slot-domain-01-01-2,controller-slot-domain-01,221,ugm3,float,1,text-obj-01-01-air_quality_pm25-02-snm03,overnight_inversion,overnight_inversion_variant_03,cg-obj-01-01-air_quality_pm25-02,routing_hard
