query_id,split,ingress_node_id,start_time_ms,query_text,zone_constraint,zone_type_constraint,service_constraint,freshness_constraint,ambiguity_level,difficulty,intended_domain_count,ground_truth_count,query_family,workload_tier,intent_facet,query_text_id,manifest_difficulty,target_relevant_domains,target_confuser_domains,explicit_domain_mention,explicit_zone_mention,semantic_intent_family
q-rf_1239_sprint-routing_hard_v3-0001,dev,Boston5499,0,need carbon level updates for freight terminal emission conditions around downtown with recent freshness,,downtown,air_quality_co2,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_terminal_emission,qt-q-rf_1239_sprint-routing_hard_v3-0001,medium,domain-06;domain-09,domain-02;domain-13,0,0,freight_terminal_emission
q-rf_1239_sprint-routing_hard_v3-0002,dev,Paris4051,100,need co2 updates for traffic corridor emission conditions around industrial with archival freshness,,industrial,air_quality_co2,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,traffic_corridor_emission,qt-q-rf_1239_sprint-routing_hard_v3-0002,medium,domain-07;domain-10,domain-02;domain-03;domain-14,0,0,traffic_corridor_emission
q-rf_1239_sprint-routing_hard_v3-0003,dev,"Relay,+MD6431",200,need carbon level updates for freight terminal emission conditions around industrial with realtime freshness,,industrial,air_quality_co2,realtime,high,hard,3,3,paraphrase_controlled,routing_hard_v3,freight_terminal_emission,qt-q-rf_1239_sprint-routing_hard_v3-0003,hard,domain-02;domain-07;domain-10,domain-03;domain-14,0,0,freight_terminal_emission
q-rf_1239_sprint-routing_hard_v3-0004,dev,"Munich,+Germany4087",300,need carbon dioxide updates for indoor ventilation strain conditions around industrial with recent freshness,,industrial,air_quality_co2,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_ventilation_strain,qt-q-rf_1239_sprint-routing_hard_v3-0004,medium,domain-02;domain-07,domain-03;domain-14,0,0,indoor_ventilation_strain
q-rf_1239_sprint-routing_hard_v3-0005,dev,London4045,400,need carbon dioxide updates for transit queue buildup conditions around residential with realtime freshness,,residential,air_quality_co2,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,transit_queue_buildup,qt-q-rf_1239_sprint-routing_hard_v3-0005,medium,domain-05;domain-08,domain-01;domain-12,0,0,transit_queue_buildup
q-rf_1239_sprint-routing_hard_v3-0006,dev,"Rancho+Cordova,+CA5514",500,need co2 updates for stadium post event co2 conditions around residential with recent freshness,,residential,air_quality_co2,recent,high,hard,3,3,paraphrase_controlled,routing_hard_v3,stadium_post_event_co2,qt-q-rf_1239_sprint-routing_hard_v3-0006,hard,domain-05;domain-08;domain-13,domain-01;domain-12,0,0,stadium_post_event_co2
q-rf_1239_sprint-routing_hard_v3-0007,dev,"Sydney,+Australia4067",600,need co2 updates for transit queue buildup conditions around school area with recent freshness,,school_area,air_quality_co2,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,transit_queue_buildup,qt-q-rf_1239_sprint-routing_hard_v3-0007,medium,domain-04;domain-12,domain-01;domain-16,0,0,transit_queue_buildup
q-rf_1239_sprint-routing_hard_v3-0008,dev,"Ashburn,+VA10162",700,need carbon level updates for traffic corridor emission conditions around transport hub with archival freshness,,transport_hub,air_quality_co2,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,traffic_corridor_emission,qt-q-rf_1239_sprint-routing_hard_v3-0008,medium,domain-10;domain-15,domain-03;domain-14,0,0,traffic_corridor_emission
q-rf_1239_sprint-routing_hard_v3-0009,dev,"Seattle,+WA6450",800,need particulate pollution updates for overnight inversion conditions around downtown with recent freshness,,downtown,air_quality_pm25,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,overnight_inversion,qt-q-rf_1239_sprint-routing_hard_v3-0009,medium,domain-06;domain-09,domain-02;domain-13,0,0,overnight_inversion
q-rf_1239_sprint-routing_hard_v3-0010,dev,"Atlanta,+GA2338",900,need fine dust level updates for commuter particulate conditions around industrial with archival freshness,,industrial,air_quality_pm25,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,commuter_particulate,qt-q-rf_1239_sprint-routing_hard_v3-0010,medium,domain-07;domain-10,domain-02;domain-03;domain-14,0,0,commuter_particulate
