query_id,split,ingress_node_id,start_time_ms,query_text,zone_constraint,zone_type_constraint,service_constraint,freshness_constraint,ambiguity_level,difficulty,intended_domain_count,ground_truth_count,query_family,workload_tier,intent_facet,query_text_id,manifest_difficulty,target_relevant_domains,target_confuser_domains,explicit_domain_mention,explicit_zone_mention,semantic_intent_family
q-rf_3967_exodus-routing_hard_v3-0001,dev,"Atlanta,+GA133",0,need bus waiting time updates for corridor incident diversion conditions around residential with archival freshness,,residential,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_3967_exodus-routing_hard_v3-0001,medium,domain-05;domain-08,domain-01;domain-06,0,0,corridor_incident_diversion
q-rf_3967_exodus-routing_hard_v3-0002,dev,"Santa+Clara,+CA388",100,need ambient humidity updates for indoor outdoor drift conditions around residential with archival freshness,,residential,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0002,medium,domain-01;domain-06,domain-05;domain-08,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0003,dev,Amsterdam119,200,need humidity updates for indoor outdoor drift conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0003,medium,domain-05;domain-08,domain-01;domain-06,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0004,dev,"Austin,+TX136",300,need moisture level updates for irrigation buildup conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,irrigation_buildup,qt-q-rf_3967_exodus-routing_hard_v3-0004,medium,domain-01;domain-06,domain-05;domain-08,0,0,irrigation_buildup
q-rf_3967_exodus-routing_hard_v3-0005,dev,"Herndon,+VA208",400,need noise level updates for school pickup disturbance conditions around residential with archival freshness,,residential,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_3967_exodus-routing_hard_v3-0005,medium,domain-01;domain-06,domain-05;domain-08,0,0,school_pickup_disturbance
q-rf_3967_exodus-routing_hard_v3-0006,dev,Frankfurt184,500,need sound level updates for stadium dispersal noise conditions around residential with recent freshness,,residential,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_3967_exodus-routing_hard_v3-0006,medium,domain-05;domain-08,domain-01;domain-06,0,0,stadium_dispersal_noise
q-rf_3967_exodus-routing_hard_v3-0007,dev,"Santa+Clara,+CA389",600,need traffic speed updates for freight corridor slowdown conditions around downtown with realtime freshness,,downtown,traffic_speed,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_corridor_slowdown,qt-q-rf_3967_exodus-routing_hard_v3-0007,medium,domain-02;domain-07,domain-03;domain-06,0,0,freight_corridor_slowdown
q-rf_3967_exodus-routing_hard_v3-0008,dev,"Santa+Clara,+CA363",700,need bus arrival updates for corridor incident diversion conditions around residential with archival freshness,,residential,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_3967_exodus-routing_hard_v3-0008,medium,domain-05;domain-08,domain-01;domain-06,0,0,corridor_incident_diversion
q-rf_3967_exodus-routing_hard_v3-0009,dev,"Atlanta,+GA133",800,need moisture level updates for indoor outdoor drift conditions around residential with archival freshness,,residential,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0009,medium,domain-01;domain-06,domain-05;domain-08,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0010,dev,"Santa+Clara,+CA388",900,need humidity updates for indoor outdoor drift conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0010,medium,domain-05;domain-08,domain-01;domain-06,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0011,dev,Amsterdam119,1000,need moisture level updates for irrigation buildup conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,irrigation_buildup,qt-q-rf_3967_exodus-routing_hard_v3-0011,medium,domain-01;domain-06,domain-05;domain-08,0,0,irrigation_buildup
q-rf_3967_exodus-routing_hard_v3-0012,dev,"Austin,+TX136",1100,need sound level updates for school pickup disturbance conditions around residential with archival freshness,,residential,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_3967_exodus-routing_hard_v3-0012,medium,domain-01;domain-06,domain-05;domain-08,0,0,school_pickup_disturbance
q-rf_3967_exodus-routing_hard_v3-0013,dev,"Herndon,+VA208",1200,need ambient noise updates for stadium dispersal noise conditions around residential with recent freshness,,residential,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_3967_exodus-routing_hard_v3-0013,medium,domain-05;domain-08,domain-01;domain-06,0,0,stadium_dispersal_noise
q-rf_3967_exodus-routing_hard_v3-0014,dev,Frankfurt184,1300,need vehicle flow speed updates for freight corridor slowdown conditions around downtown with realtime freshness,,downtown,traffic_speed,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_corridor_slowdown,qt-q-rf_3967_exodus-routing_hard_v3-0014,medium,domain-02;domain-07,domain-03;domain-06,0,0,freight_corridor_slowdown
q-rf_3967_exodus-routing_hard_v3-0015,dev,"Santa+Clara,+CA389",1400,need next bus updates for corridor incident diversion conditions around residential with archival freshness,,residential,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_3967_exodus-routing_hard_v3-0015,medium,domain-05;domain-08,domain-01;domain-06,0,0,corridor_incident_diversion
q-rf_3967_exodus-routing_hard_v3-0016,dev,"Santa+Clara,+CA363",1500,need humidity updates for indoor outdoor drift conditions around residential with archival freshness,,residential,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0016,medium,domain-01;domain-06,domain-05;domain-08,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0017,dev,"Atlanta,+GA133",1600,need moisture level updates for indoor outdoor drift conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0017,medium,domain-05;domain-08,domain-01;domain-06,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0018,dev,"Santa+Clara,+CA388",1700,need moisture level updates for irrigation buildup conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,irrigation_buildup,qt-q-rf_3967_exodus-routing_hard_v3-0018,medium,domain-01;domain-06,domain-05;domain-08,0,0,irrigation_buildup
q-rf_3967_exodus-routing_hard_v3-0019,dev,Amsterdam119,1800,need ambient noise updates for school pickup disturbance conditions around residential with archival freshness,,residential,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_3967_exodus-routing_hard_v3-0019,medium,domain-01;domain-06,domain-05;domain-08,0,0,school_pickup_disturbance
q-rf_3967_exodus-routing_hard_v3-0020,dev,"Austin,+TX136",1900,need ambient noise updates for stadium dispersal noise conditions around residential with recent freshness,,residential,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_3967_exodus-routing_hard_v3-0020,medium,domain-05;domain-08,domain-01;domain-06,0,0,stadium_dispersal_noise
q-rf_3967_exodus-routing_hard_v3-0021,dev,"Herndon,+VA208",2000,need traffic speed updates for freight corridor slowdown conditions around downtown with realtime freshness,,downtown,traffic_speed,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_corridor_slowdown,qt-q-rf_3967_exodus-routing_hard_v3-0021,medium,domain-02;domain-07,domain-03;domain-06,0,0,freight_corridor_slowdown
q-rf_3967_exodus-routing_hard_v3-0022,dev,Frankfurt184,2100,need bus waiting time updates for corridor incident diversion conditions around residential with archival freshness,,residential,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_3967_exodus-routing_hard_v3-0022,medium,domain-05;domain-08,domain-01;domain-06,0,0,corridor_incident_diversion
q-rf_3967_exodus-routing_hard_v3-0023,dev,"Santa+Clara,+CA389",2200,need ambient humidity updates for indoor outdoor drift conditions around residential with archival freshness,,residential,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0023,medium,domain-01;domain-06,domain-05;domain-08,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0024,dev,"Santa+Clara,+CA363",2300,need humidity updates for indoor outdoor drift conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0024,medium,domain-05;domain-08,domain-01;domain-06,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0025,dev,"Atlanta,+GA133",2400,need humidity updates for irrigation buildup conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,irrigation_buildup,qt-q-rf_3967_exodus-routing_hard_v3-0025,medium,domain-01;domain-06,domain-05;domain-08,0,0,irrigation_buildup
q-rf_3967_exodus-routing_hard_v3-0026,dev,"Santa+Clara,+CA388",2500,need noise level updates for school pickup disturbance conditions around residential with archival freshness,,residential,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_3967_exodus-routing_hard_v3-0026,medium,domain-01;domain-06,domain-05;domain-08,0,0,school_pickup_disturbance
q-rf_3967_exodus-routing_hard_v3-0027,dev,Amsterdam119,2600,need sound level updates for stadium dispersal noise conditions around residential with recent freshness,,residential,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_3967_exodus-routing_hard_v3-0027,medium,domain-05;domain-08,domain-01;domain-06,0,0,stadium_dispersal_noise
q-rf_3967_exodus-routing_hard_v3-0028,dev,"Austin,+TX136",2700,need traffic speed updates for freight corridor slowdown conditions around downtown with realtime freshness,,downtown,traffic_speed,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_corridor_slowdown,qt-q-rf_3967_exodus-routing_hard_v3-0028,medium,domain-02;domain-07,domain-03;domain-06,0,0,freight_corridor_slowdown
q-rf_3967_exodus-routing_hard_v3-0029,dev,"Herndon,+VA208",2800,need bus waiting time updates for corridor incident diversion conditions around residential with archival freshness,,residential,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_3967_exodus-routing_hard_v3-0029,medium,domain-05;domain-08,domain-01;domain-06,0,0,corridor_incident_diversion
q-rf_3967_exodus-routing_hard_v3-0030,dev,Frankfurt184,2900,need moisture level updates for indoor outdoor drift conditions around residential with archival freshness,,residential,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0030,medium,domain-01;domain-06,domain-05;domain-08,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0031,dev,"Santa+Clara,+CA389",3000,need humidity updates for indoor outdoor drift conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0031,medium,domain-05;domain-08,domain-01;domain-06,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0032,dev,"Santa+Clara,+CA363",3100,need moisture level updates for irrigation buildup conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,irrigation_buildup,qt-q-rf_3967_exodus-routing_hard_v3-0032,medium,domain-01;domain-06,domain-05;domain-08,0,0,irrigation_buildup
q-rf_3967_exodus-routing_hard_v3-0033,dev,"Atlanta,+GA133",3200,need sound level updates for school pickup disturbance conditions around residential with archival freshness,,residential,noise_level,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,school_pickup_disturbance,qt-q-rf_3967_exodus-routing_hard_v3-0033,medium,domain-01;domain-06,domain-05;domain-08,0,0,school_pickup_disturbance
q-rf_3967_exodus-routing_hard_v3-0034,dev,"Santa+Clara,+CA388",3300,need ambient noise updates for stadium dispersal noise conditions around residential with recent freshness,,residential,noise_level,recent,high,hard,2,2,paraphrase_controlled,routing_hard_v3,stadium_dispersal_noise,qt-q-rf_3967_exodus-routing_hard_v3-0034,medium,domain-05;domain-08,domain-01;domain-06,0,0,stadium_dispersal_noise
q-rf_3967_exodus-routing_hard_v3-0035,dev,Amsterdam119,3400,need vehicle flow speed updates for freight corridor slowdown conditions around downtown with realtime freshness,,downtown,traffic_speed,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,freight_corridor_slowdown,qt-q-rf_3967_exodus-routing_hard_v3-0035,medium,domain-02;domain-07,domain-03;domain-06,0,0,freight_corridor_slowdown
q-rf_3967_exodus-routing_hard_v3-0036,dev,"Austin,+TX136",3500,need bus arrival updates for corridor incident diversion conditions around residential with archival freshness,,residential,bus_arrival,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,corridor_incident_diversion,qt-q-rf_3967_exodus-routing_hard_v3-0036,medium,domain-05;domain-08,domain-01;domain-06,0,0,corridor_incident_diversion
q-rf_3967_exodus-routing_hard_v3-0037,dev,"Herndon,+VA208",3600,need ambient humidity updates for indoor outdoor drift conditions around residential with archival freshness,,residential,humidity,archival,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0037,medium,domain-01;domain-06,domain-05;domain-08,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0038,dev,Frankfurt184,3700,need humidity updates for indoor outdoor drift conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,indoor_outdoor_drift,qt-q-rf_3967_exodus-routing_hard_v3-0038,medium,domain-05;domain-08,domain-01;domain-06,0,0,indoor_outdoor_drift
q-rf_3967_exodus-routing_hard_v3-0039,dev,"Santa+Clara,+CA389",3800,need ambient humidity updates for irrigation buildup conditions around residential with realtime freshness,,residential,humidity,realtime,high,hard,2,2,paraphrase_controlled,routing_hard_v3,irrigation_buildup,qt-q-rf_3967_exodus-routing_hard_v3-0039,medium,domain-01;domain-06,domain-05;domain-08,0,0,irrigation_buildup
